Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.409821173833434,0.24834698405314,0.186905789650059,0,0,0,16.3100062980245,0.442677686543008,-4.25661758844464E-05,-8.01477314248755E-09,1.88352843223116,1.63654344774193E-05,2.08653679036228,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/base_link.STL,,robot chassis bottom-2;robot chassis top front back-1;robot chassis-1;robot chassis-2;bumper-2;bumper-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_wheel_link,-5.59829960167235E-14,1.71109293400917E-10,0.103131389958602,0,0,0,17.0942965183764,0.267032855143768,-1.12646160249113E-12,-5.64889034173173E-10,0.267032853623031,9.38468143054185E-12,0.388719266107455,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/front_right_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/front_right_wheel_link.STL,,mecanum wheel-3/mecanum wheel sides-1,Origin_front_right_wheel_joint,Axis_front_right_wheel_joint,front_right_wheel_joint,continuous,-0.117597527934808,-0.0373548329643068,0.101609117592568,-1.57057710899586,-1.01905526588804,3.14140604048142,base_link,0,0,1,,,,,,,,,,,,
front_left_wheel_link,-6.09432209558447E-14,1.71113179181503E-10,-0.10313316315041,0,0,0,17.0942965183763,0.267032855143761,-1.14495324378565E-12,5.64901635916011E-10,0.267032853623031,-9.36914599586813E-12,0.388719266107462,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/front_left_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/front_left_wheel_link.STL,,mecanum wheel right-5/mecanum wheel sides1-1,Origin_front_left_wheel_joint,Axis_front_left_wheel_joint,front_left_wheel_joint,continuous,-0.117597571165592,0.533998775516627,0.101543464746799,1.57061905476483,-0.865579426080518,0.00013506316993608,base_link,0,0,1,,,,,,,,,,,,
back_right_wheel_link,-6.03961325396085E-14,1.71112679581142E-10,0.103133072201983,0,0,0,17.0942965183763,0.267032855143761,-1.14612708765688E-12,-5.6490011240867E-10,0.267032853623031,9.36830866314219E-12,0.388719266107461,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/back_right_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/back_right_wheel_link.STL,,mecanum wheel-1/mecanum wheel sides-1,Origin_back_right_wheel_joint,Axis_back_right_wheel_joint,back_right_wheel_joint,continuous,-0.701797527934933,-0.0373531949241711,0.101609113542451,1.57061607230749,-0.879581000000789,0.000138956671881705,base_link,0,0,1,,,,,,,,,,,,
back_left_wheel_link,-5.73430192218893E-14,1.71111347313513E-10,-0.103131061396203,0,0,0,17.0942965183761,0.267032855143766,-1.12799030549115E-12,5.64892005170035E-10,0.267032853623031,-9.37929304908262E-12,0.388719266107457,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/back_left_wheel_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/back_left_wheel_link.STL,,mecanum wheel right-4/mecanum wheel sides1-1,Origin_back_left_wheel_joint,Axis_back_left_wheel_joint,back_left_wheel_joint,continuous,-0.70179757116575,0.534000833067587,0.101543460648476,-1.57057031157129,-1.03746333162058,3.14139810362434,base_link,0,0,1,,,,,,,,,,,,
top_plate_link,-2.90082402543135E-11,0.0043878381469416,7.41073868937292E-15,0,0,0,16.7771592854839,1.09903225464032,-1.03404210589939E-08,3.53674467239491E-08,2.66325912479572,1.73347664347845E-15,1.566461199065,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/top_plate_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/top_plate_link.STL,,platform-1;robot arm-1/arm base 1-1,Origin_top_plate_joint,Axis_top_plate_joint,top_plate_joint,fixed,-0.409697551607141,0.248358589255724,0.412726287085218,1.57068141924114,0,0,base_link,0,0,0,,,,,,,,,,,,
arm_base_link,1.35419453428653E-13,0.164974567451507,-1.15671056066802E-09,0,0,0,16.2102374081522,0.278054099642839,-4.40438667253986E-14,1.18827634970848E-16,0.226366310502593,6.24174996065835E-10,0.320787148766728,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/arm_base_link.STL,1,1,1,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/arm_base_link.STL,,robot arm-1/arm base 2-1,Origin_arm_base_joint,Axis_arm_base_joint,arm_base_joint,continuous,0,0.01,0,3.14158139197888,1.57079625081358,3.14158139197905,top_plate_link,0,1,0,,,,,,,,,,,,
arm_link_1,1.02486338554586E-07,0.322611922568042,-2.16155512465233E-05,0,0,0,25.9953851935799,0.850411062490315,-1.1256368045174E-06,-7.66617423389136E-07,0.113742490546722,-1.06617847915695E-05,0.800217011730299,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/arm_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/arm_link_1.STL,,robot arm-1/arm link 1-1;robot arm-1/base link pin cap-1;robot arm-1/arm base link washer-2;robot arm-1/arm base link washer-1;robot arm-1/base link pin cap-2,Origin_arm_link_1_joint,Axis_arm_link_1_joint,arm_link_1_joint,continuous,0,0.3,0,0,0,0,arm_base_link,1,0,0,,,,,,,,,,,,
arm_link_2,5.35095437403932E-09,0.381767529489417,5.38744539078095E-05,0,0,0,22.8030311855106,0.913689793523493,-3.34324969643128E-08,-7.18053432419775E-07,0.0886361778058626,-8.45267067143285E-06,0.900616527405022,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/arm_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/arm_link_2.STL,,robot arm-1/arm link 2-1;robot arm-1/arm link pin cap-3;robot arm-1/arm link pin cap-4;robot arm-1/arm link pin-2,Origin_arm_link_2_joint,Axis_arm_link_2_joint,arm_link_2_joint,continuous,0,0.86,0,3.1416,0,3.1416,arm_link_1,1,0,0,,,,,,,,,,,,
arm_link_3,1.57458450333881E-07,-0.246613073175808,2.36154641909958E-05,0,0,0,18.4583758499819,0.349736954881592,-7.07116973353364E-07,-2.91496186672106E-08,0.0799779306903578,-4.8811147516351E-06,0.343060004683076,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/arm_link_3.STL,1,1,1,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/arm_link_3.STL,,robot arm-1/arm link 3-1;robot arm-1/arm link pin cap-2;robot arm-1/arm link pin-1;robot arm-1/arm link pin cap-1,Origin_arm_link_3_joint,Axis_arm_link_3_joint,arm_link_3_joint,continuous,0,0.95,0,-3.1416,0,0,arm_link_2,1,0,0,,,,,,,,,,,,
camera_holder_link,0.187251012647874,-3.9949793612104E-05,-3.02288749587376E-12,0,0,0,19.8300644910614,1.36579729580863,1.08993130478014E-09,-1.59193743799226E-15,1.20092006636686,5.67723131624292E-08,0.450596696746023,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/camera_holder_link.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/camera_holder_link.STL,,robot arm-1/end effector holder-1,Origin_camera_holder_joint,Axis_camera_holder_joint,camera_holder_joint,continuous,0,-0.6096,0,-1.5708,0,-1.5708,arm_link_3,1,0,0,,,,,,,,,,,,
camera_link,0.139262314980534,-0.00172631742244522,-0.00419621059518324,0,0,0,67.6402186866665,7.0592577317398,0.00160005125590444,0.022251590779016,7.1065703493232,0.000413736466453183,0.72496409449164,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/camera_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/camera_link.STL,,robot arm-1/camera-1,Origin_camera_joint,Axis_camera_joint,camera_joint,fixed,0.152399998573732,0,0,0,0,0,camera_holder_link,0,0,0,,,,,,,,,,,,
front_lidar_link,-0.0072549873099933,-0.159524096445024,-5.18934299420515E-08,0,0,0,21.0173459101461,0.360630213819554,-0.0108096413980878,4.79803425570761E-08,0.186912416456727,-2.37737605167823E-07,0.361463047566562,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/front_lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/front_lidar_link.STL,,lidar sensor-1,Origin_front_lidar_joint,,front_lidar_joint,fixed,0.30811,0.24834,0.2361,-1.5709,0,0,base_link,0,0,0,,,,,,,,,,,,
rear_lidar_link,-0.00725498516151357,-0.1595240965549,-5.18932853910137E-08,0,0,0,21.0173459127111,0.360630214140233,-0.0108096390967667,4.79968519404199E-08,0.18691241620145,-2.37742872944465E-07,0.361463047569038,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/rear_lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://aircraft_inspection_robot/meshes/rear_lidar_link.STL,,lidar sensor-2,Origin_read_lidar_joint,Axis_rear_lidar_joint,rear_lidar_joint,fixed,-1.12750155043951,0.248338238939751,0.236097306217156,-1.57068141924114,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
